Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter$Companion$DiffCallback$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.ClosePs4ControllerLightSessionUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$getConnectedPs4Controllers$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.GlimpseToggleViewKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$inputDeviceListener$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils;com.android.synclab.glimpse.utils.svace.LogCompatKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.svace.BatteryChargeStatusKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.base.contracts;com.android.synclab.glimpse.base.contracts.svace.GamepadRepositoryKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;com.android.synclab.glimpse.infra.repository.roomdb;com.android.synclab.glimpse.infra.repository.roomdb.svace.RoomControllerProfileRepositoryKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.SettingsPanelViewKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$getConnectedPs4Controllers$2;0;0;CLASS;N
