FunctionName;FunctionSignature;Ploc;Bloc;FullPath;LineNo
providePrimaryGamepadBatteryUseCase;com.android.synclab.glimpse.domain.usecase.GetPrimaryGamepadBatteryUseCase providePrimaryGamepadBatteryUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
from;com.android.synclab.glimpse.di.AppContainer from(android.content.Context);8;8;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
AppContainer$Companion;void AppContainer$Companion();13;12;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
create;androidx.lifecycle.ViewModel create(Class);11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
setProgressCompat;void setProgressCompat(int, boolean);4;4;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
drawChargingAnimation;void drawChargingAnimation(android.graphics.Canvas, float, float, float);87;69;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
stopChargingAnimator;void stopChargingAnimator();5;5;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
onDraw;void onDraw(android.graphics.Canvas);66;58;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
colorAt;int colorAt(float);12;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
colorAtGlow;int colorAtGlow(float);12;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
onDetachedFromWindow;void onDetachedFromWindow();4;4;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
dp;float dp(float);1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
onMeasure;void onMeasure(int, int);7;7;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
blend;int blend(int, int, float);8;8;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
startChargingAnimator;void startChargingAnimator();16;16;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
setChargingAnimationEnabled;void setChargingAnimationEnabled(boolean);12;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
onAttachedToWindow;void onAttachedToWindow();6;6;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
flushPendingColorApply;void flushPendingColorApply();8;8;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
scheduleColorApply;void scheduleColorApply(int);19;19;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
toHexColor;String toHexColor(int);3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
shouldShowFailureToast;boolean shouldShowFailureToast(com.android.synclab.glimpse.data.model.ControllerLightCommandStatus);10;10;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
handleApplyResult;void handleApplyResult(int, com.android.synclab.glimpse.data.model.ControllerLightCommandResult);19;17;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
dismiss;void dismiss();3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
dispose;void dispose();11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
sendColorToController;void sendColorToController(int);45;40;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
showStatusToast;void showStatusToast(com.android.synclab.glimpse.data.model.ControllerLightCommandStatus);11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
show;void show();86;73;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
invoke;void invoke(String);3;3;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;0
